"150x70x5",70,150,5,15.98,20.36,561.45,74.86,94.98,5.25,169.3,48.37,55.56,2.88,433.62
"150x70x6",70,150,6,18.866,24.03,647.95,86.39,110.76,5.19,193.76,55.36,64.55,2.84,504.14
"150x70x7",70,150,7,21.319,27.16,702.56,93.67,122.33,5.09,210.29,60.08,71.38,2.78,568.52
"150x100x4",100,150,4,14.874,18.95,594.6,79.28,95.67,5.6,318.57,63.71,72.5,4.1,661.63
"150x100x5",100,150,5,18.335,23.36,719.2,95.89,116.73,5.55,384.02,76.8,88.34,4.05,808.68
"150x100x6",100,150,6,21.692,27.63,834.69,111.29,136.68,5.5,444.19,88.84,103.3,4.01,948.34
"150x100x7",100,150,7,24.616,31.36,917.44,122.33,152.36,5.41,488.68,97.74,115.27,3.95,1082.81
"150x100x8",100,150,8,27.665,35.24,1008.13,134.42,169.16,5.35,535.65,107.13,127.85,3.9,1205.89
"150x120x4",120,150,4,16.13,20.55,679.89,90.65,107.35,5.75,483.04,80.51,92.25,4.85,891.21
"150x120x5",120,150,5,19.905,25.36,824.37,109.92,131.23,5.7,584.72,97.45,112.7,4.8,1092.37
"150x120x6",120,150,6,23.576,30.03,959.17,127.89,153.96,5.65,679.23,113.2,132.13,4.76,1284.79
"150x120x7",120,150,7,26.814,34.16,1060.7,141.43,172.38,5.57,751.51,125.25,148.02,4.69,1472.84
"150x120x8",120,150,8,30.177,38.44,1169.61,155.95,191.88,5.52,827.66,137.94,164.69,4.64,1646.36
"160x60x3",60,160,3,9.897,12.61,389.86,48.73,61.99,5.56,83.91,27.97,31.05,2.58,228.15
"160x60x4",60,160,4,12.99,16.55,500.35,62.54,80.38,5.5,106.38,35.46,40.04,2.54,293.96
"160x60x5",60,160,5,15.98,20.36,601.52,75.19,97.66,5.44,126.33,42.11,48.38,2.49,354.68
"160x60x6",60,160,6,18.866,24.03,693.64,86.71,113.84,5.37,143.91,47.97,56.08,2.45,410.35
"160x60x7",60,160,7,21.319,27.16,749.81,93.73,125.55,5.25,155.47,51.82,61.86,2.39,459.52
"160x80x3",80,160,3,10.839,13.81,463.81,57.98,71.41,5.8,159.03,39.76,44.26,3.39,380.34
"160x80x4",80,160,4,14.246,18.15,597.71,74.71,92.86,5.74,203.54,50.89,57.39,3.35,494.1
"160x80x5",80,160,5,17.55,22.36,721.69,90.21,113.16,5.68,244.11,61.03,69.74,3.3,601.34
"160x80x6",80,160,6,20.75,26.43,836.01,104.5,132.32,5.62,280.89,70.22,81.31,3.26,702.06
"160x80x7",80,160,7,23.517,29.96,913.78,114.22,146.97,5.52,307.28,76.82,90.42,3.2,796.66
"160x90x3",90,160,3,11.31,14.41,500.79,62.6,76.12,5.9,206.79,45.95,51.31,3.79,465.4
"160x90x4",90,160,4,14.874,18.95,646.39,80.8,99.1,5.84,265.54,59.01,66.66,3.74,606.16
"160x90x5",90,160,5,18.335,23.36,781.77,97.72,120.91,5.79,319.52,71,81.16,3.7,739.7
"160x90x6",90,160,6,21.692,27.63,907.19,113.4,141.56,5.73,368.91,81.98,94.82,3.65,866.01
"160x90x7",90,160,7,24.616,31.36,995.77,124.47,157.68,5.64,405.31,90.07,105.75,3.6,986.57
"160x120x4",120,160,4,16.758,21.35,792.44,99.06,117.82,6.09,509.97,84.99,96.89,4.89,979.51
"160x120x5",120,160,5,20.69,26.36,962.02,120.25,144.16,6.04,617.81,102.97,118.45,4.84,1201.2
"160x120x6",120,160,6,24.518,31.23,1120.75,140.09,169.28,5.99,718.25,119.71,138.97,4.8,1413.54
"160x120x7",120,160,7,27.913,35.56,1241.74,155.22,189.81,5.91,796.26,132.71,155.93,4.73,1621.54
"160x120x8",120,160,8,31.433,40.04,1371.23,171.4,211.5,5.85,877.92,146.32,173.65,4.68,1813.87
"170x80x3",80,170,3,11.31,14.41,538.73,63.38,78.47,6.11,167.92,41.98,46.57,3.41,412.46
"170x80x4",80,170,4,14.874,18.95,695.18,81.79,102.14,6.06,215.11,53.78,60.43,3.37,535.98
"170x80x5",80,170,5,18.335,23.36,840.52,98.88,124.59,6,258.19,64.55,73.49,3.32,652.51
"170x80x6",80,170,6,21.692,27.63,975.04,114.71,145.84,5.94,297.35,74.34,85.75,3.28,762.06
"170x80x7",80,170,7,24.616,31.36,1068.36,125.69,162.3,5.84,325.99,81.5,95.53,3.22,865.26
"170x100x3",100,170,3,12.252,15.61,622.41,73.22,88.49,6.31,275.87,55.17,61.58,4.2,604.41
"170x100x4",100,170,4,16.13,20.55,805.42,94.76,115.42,6.26,355.45,71.09,80.18,4.16,789.02
"170x100x5",100,170,5,19.905,25.36,976.69,114.9,141.09,6.21,429.19,85.84,97.84,4.11,965.17
"170x100x6",100,170,6,23.576,30.03,1136.49,133.7,165.52,6.15,497.28,99.46,114.58,4.07,1132.83
"170x100x7",100,170,7,26.814,34.16,1254.46,147.58,185.12,6.06,549.34,109.87,128.29,4.01,1295.06
"180x70x3",70,180,3,11.31,14.41,573.85,63.76,80.51,6.31,131.64,37.61,41.53,3.02,350.79
"180x70x4",70,180,4,14.874,18.95,740.15,82.24,104.77,6.25,168.07,48.02,53.8,2.98,454.34
"180x70x5",70,180,5,18.335,23.36,894.45,99.38,127.77,6.19,201.05,57.44,65.31,2.93,551.24
"180x70x6",70,180,6,21.692,27.63,1037.02,115.22,149.51,6.13,230.74,65.92,76.07,2.89,641.51
"180x70x7",70,180,7,24.616,31.36,1133.8,125.98,166.22,6.01,252.13,72.04,84.61,2.84,724.86
"180x90x3",90,180,3,12.252,15.61,667.85,74.21,91.13,6.54,229.5,51,56.53,3.83,546.17
"180x90x4",90,180,4,16.13,20.55,864.08,96.01,118.85,6.48,295.14,65.59,73.54,3.79,711.75
"180x90x5",90,180,5,19.905,25.36,1047.62,116.4,145.27,6.43,355.68,79.04,89.66,3.75,869.09
"180x90x6",90,180,6,23.576,30.03,1218.75,135.42,170.39,6.37,411.31,91.4,104.9,3.7,1018.17
"180x90x7",90,180,7,26.814,34.16,1343.42,149.27,190.44,6.27,453.65,100.81,117.37,3.64,1161.11
"180x100x4",100,180,4,16.758,21.35,926.04,102.89,125.89,6.59,373.89,74.78,84.02,4.18,853.85
"180x100x5",100,180,5,20.69,26.36,1124.2,124.91,154.02,6.53,451.77,90.35,102.59,4.14,1044.79
"180x100x6",100,180,6,24.518,31.23,1309.61,145.51,180.83,6.48,523.83,104.77,120.22,4.1,1226.68
"180x100x7",100,180,7,27.913,35.56,1448.23,160.91,202.55,6.38,579.67,115.93,134.8,4.04,1402.99
"180x100x8",100,180,8,31.433,40.04,1598.49,177.61,225.62,6.32,637.47,127.49,149.93,3.99,1565.24
"180x120x4",120,180,4,18.014,22.95,1049.97,116.66,139.97,6.76,563.81,93.97,106.17,4.96,1160.17
"180x120x5",120,180,5,22.26,28.36,1277.37,141.93,171.52,6.71,683.97,114,129.95,4.91,1423.83
"180x120x6",120,180,6,26.402,33.63,1491.34,165.7,201.71,6.66,796.3,132.72,152.65,4.87,1676.88
"180x120x7",120,180,7,30.111,38.36,1657.85,184.21,226.77,6.57,885.76,147.63,171.75,4.81,1925.58
"180x120x8",120,180,8,33.945,43.24,1835.33,203.93,253.14,6.51,978.44,163.07,191.57,4.76,2156.35
"180x140x4",140,180,4,19.27,24.55,1173.89,130.43,154.05,6.92,799.63,114.23,129.91,5.71,1491.17
"180x140x5",140,180,5,23.83,30.36,1430.53,158.95,189.02,6.86,972.89,138.98,159.3,5.66,1833.66
"180x140x6",140,180,6,28.286,36.03,1673.07,185.9,222.59,6.81,1136.04,162.29,187.49,5.61,2163.94
"180x140x7",140,180,7,32.309,41.16,1867.46,207.5,250.99,6.74,1268.55,181.22,211.51,5.55,2491.16
"180x140x8",140,180,8,36.457,46.44,2072.18,230.24,280.66,6.68,1405.9,200.84,236.42,5.5,2796.55
"200x70x3",70,200,3,12.252,15.61,749.68,74.97,95.52,6.93,145.12,41.46,45.55,3.05,401.23
"200x70x4",70,200,4,16.13,20.55,969.18,96.92,124.52,6.87,185.51,53,59.08,3,519.82
"200x70x5",70,200,5,19.905,25.36,1174,117.4,152.12,6.8,222.21,63.49,71.81,2.96,630.89
"200x70x6",70,200,6,23.576,30.03,1364.48,136.45,178.35,6.74,255.38,72.97,83.75,2.92,734.49
"200x70x7",70,200,7,26.814,34.16,1498.53,149.85,198.97,6.62,280.03,80.01,93.43,2.86,830.6
"200x80x4",80,200,4,16.758,21.35,1046.02,104.6,132.36,7,249.8,62.45,69.55,3.42,663.6
"200x80x5",80,200,5,20.69,26.36,1269.09,126.91,161.87,6.94,300.44,75.11,84.74,3.38,808.38
"200x80x6",80,200,6,24.518,31.23,1477.42,147.74,189.99,6.88,346.74,86.69,99.07,3.33,944.77
"200x80x7",80,200,7,27.913,35.56,1628.96,162.9,212.48,6.77,382.12,95.53,110.86,3.28,1074
"200x80x8",80,200,8,31.433,40.04,1795.76,179.58,236.54,6.7,418.23,104.56,123.01,3.23,1191.77
"200x100x4",100,200,4,18.014,22.95,1199.71,119.97,148.04,7.23,410.78,82.16,91.7,4.23,985.38
"200x100x5",100,200,5,22.26,28.36,1459.25,145.93,181.37,7.17,496.94,99.39,112.09,4.19,1206.29
"200x100x6",100,200,6,26.402,33.63,1703.31,170.33,213.27,7.12,576.91,115.38,131.5,4.14,1417.03
"200x100x7",100,200,7,30.111,38.36,1889.81,188.98,239.5,7.02,640.33,128.07,147.82,4.09,1621.76
"200x100x8",100,200,8,33.945,43.24,2090.84,209.08,267.26,6.95,705.36,141.07,164.65,4.04,1810.72
"200x120x4",120,200,4,19.27,24.55,1353.39,135.34,163.72,7.43,617.66,102.94,115.45,5.02,1345.35
"200x120x5",120,200,5,23.83,30.36,1649.42,164.94,200.87,7.37,750.14,125.02,141.45,4.97,1652
"200x120x6",120,200,6,28.286,36.03,1929.2,192.92,236.55,7.32,874.35,145.72,166.33,4.93,1946.73
"200x120x7",120,200,7,32.309,41.16,2150.67,215.07,266.52,7.23,975.25,162.54,187.57,4.87,2236.96
"200x120x8",120,200,8,36.457,46.44,2385.92,238.59,297.98,7.17,1078.97,179.83,209.49,4.82,2507.04
"200x150x5",150,200,5,26.185,33.36,1934.67,193.47,230.12,7.62,1245.04,166,189.23,6.11,2391.38
"200x150x6",150,200,6,31.112,39.63,2268.03,226.8,271.47,7.56,1457.13,194.28,223.08,6.06,2826.19
"200x150x7",150,200,7,35.606,45.36,2541.96,254.2,307.05,7.49,1633.73,217.83,252.46,6,3258.9
"200x150x8",150,200,8,40.225,51.24,2828.55,282.85,344.06,7.43,1815.54,242.07,282.76,5.95,3664.86
"220x80x4",80,220,4,18.014,22.95,1332.62,121.15,154.51,7.62,272.92,68.23,75.63,3.45,749.97
"220x80x5",80,220,5,22.26,28.36,1619.86,147.26,189.23,7.56,328.61,82.15,92.24,3.4,913.84
"220x80x6",80,220,6,26.402,33.63,1889.42,171.77,222.42,7.5,379.67,94.92,107.95,3.36,1068.34
"220x80x7",80,220,7,30.111,38.36,2090.42,190.04,249.44,7.38,419.54,104.88,121.08,3.31,1215.08
"220x80x8",80,220,8,33.945,43.24,2309.95,210,278.18,7.31,459.88,114.97,134.53,3.26,1349.12
"250x100x5",100,250,5,26.185,33.36,2553.76,204.3,258.51,8.75,609.85,121.97,135.84,4.28,1620.11
"250x100x6",100,250,6,31.112,39.63,2992.34,239.39,304.85,8.69,709.63,141.93,159.7,4.23,1904.54
"250x100x7",100,250,7,35.606,45.36,3341.65,267.33,344.15,8.58,791.97,158.39,180.37,4.18,2181.58
"250x100x8",100,250,8,40.225,51.24,3714.08,297.13,385.37,8.51,875.06,175.01,201.45,4.13,2438.66
