"L200x200x22+",65.6,200,22,18,9,83.5,5.76,14.14,8.15,7.18,0.785,11.97,"L200x200x22",65.6,3094,217.3,6.09,4915,7.67,1273,3.90,-1821,1,3,,,
"L200x200x23+",68.3,200,23,18,9,87.1,5.80,14.14,8.20,7.19,0.785,11.48,"L200x200x23",68.3,3213,226.3,6.08,5102,7.66,1324,3.90,-1889,1,2,,,
"L200x200x24-/+",71.1,200,24,18,9,91.0,5.84,14.14,8.26,7.21,0.785,11.03,"L200x200x24",71.1,3331,235.2,6.06,5286,7.64,1375,3.90,-1955,1,2,,,
"L200x200x25+",73.9,200,25,18,9,94.1,5.88,14.14,8.31,7.23,0.785,10.62,"L200x200x25",73.9,3446,244.0,6.05,5467,7.62,1426,3.89,-2020,1,1,,,
"L200x200x26+",76.6,200,26,18,9,97.6,5.91,14.14,8.36,7.25,0.785,10.24,"L200x200x26",76.6,3560,252.7,6.04,5645,7.61,1476,3.89,-2084,1,1,,,
"L250x250x20+",75.6,250,20,18,9,96.4,6.93,17.68,9.81,8.91,0.985,13.02,"L250x250x20",75.6,5743,317.9,7.72,9144,9.74,2341,4.93,-3401,4,4,,,
"L250x250x21+",79.2,250,21,18,9,101.0,6.97,17.68,9.86,8.93,0.985,12.43,"L250x250x21",79.2,5997,332.7,7.71,9548,9.73,2447,4.92,-3550,4,4,,,
"L250x250x22+",82.8,250,22,18,9,106.0,7.01,17.68,9.92,8.94,0.985,11.89,"L250x250x22",82.8,6249,347.4,7.70,9946,9.71,2551,4.92,-3697,3,4,,,
"L250x250x23+",86.4,250,23,18,9,110,7.05,17.68,9.97,8.96,0.985,11.40,"L250x250x23",86.4,6497,362.0,7.68,10339,9.69,2655,4.91,-3842,2,4,,,
"L250x250x24+",90.0,250,24,18,9,115,7.09,17.68,10.03,8.98,0.985,10.95,"L250x250x24",90.0,6743,376.5,7.67,10727,9.68,2759,4.91,-3984,2,4,,,
"L250x250x25+",93.5,250,25,18,9,119,7.13,17.68,10.08,8.99,0.985,10.53,"L250x250x25",93.5,6986,390.9,7.66,11110,9.66,2861,4.90,-4124,1,4,,,
"L250x250x26+",97.0,250,26,18,9,124,7.17,17.68,10.13,9.01,0.985,10.15,"L250x250x26",97.0,7226,405.2,7.65,11488,9.64,2963,4.90,-4262,1,4,,,
"L250x250x27+",101.0,250,27,18,9,128,7.20,17.68,10.19,9.03,0.985,9.79,"L250x250x27",101.0,7463,419.3,7.63,11861,9.62,3065,4.89,-4398,1,3,,,
"L250x250x28-/+",104.0,250,28,18,9,133,7.24,17.68,10.24,9.04,0.985,9.47,"L250x250x28",104.0,7697,433.4,7.62,12229,9.61,3166,4.89,-4532,1,2,,,
"L250x250x35-/+",128,250,35,18,9,163,7.50,17.68,10.61,9.17,0.985,7.69,"L250x250x35",128,9264,529.4,7.54,14669,9.48,3859,4.86,-5405,1,1,,,
"L203x203x19/+",57.9,203,19,8,4,73.6,5.76,14.35,8.15,7.38,0.805,13.94,"L203x203x19",57.9,2881,198.2,6.26,4588,7.90,1174,3.99,-1707,2,4,,,
"L203x203x22.2/+",67.0,203,22.2,8,4,85.0,5.88,14.35,8.32,7.44,0.805,12.03,"L203x203x22.2",67.0,3293,228.4,6.21,5236,7.84,1350,3.98,-1943,1,3,,,
"L203x203x25.4/+",75.9,203,25.4,8,4,96.8,6.00,14.35,8.48,7.50,0.805,10.60,"L203x203x25.4",75.9,3686,257.7,6.17,5850,7.78,1522,3.97,-2164,1,1,,,
"L203x203x28.6/+",84.7,203,28.6,8,4,108.0,6.11,14.35,8.65,7.57,0.805,9.50,"L203x203x28.6",84.7,4062,286.3,6.13,6432,7.72,1692,3.96,-2370,1,1,,,
